Name,Type,Brand,Image,Description,top note,middle note,bottom note
Empress,Eau De Parfum Intense,Soki London,dist/images/empress.png,"Empress is housed in a faceted lilac gemstone with an ethereal presence. The luminous glass bottle is emblematic of opulent treasures found in the temples of Egypt or Morocco: the provenance of jasmine and rose oils which form the heart notes of Empress. The guiding star cap, is a nod to the wonderment of our galaxy and the celestial origins of the Empress herself, will stand with pride and beauty in your home.",dist/images/notes/strawberry.png,dist/images/notes/rose.png,dist/images/notes/toffee.png
Fame,Eau de Toilette,Paco Rabanne,dist/images/fame.png,"FAME, the covetable new feminine fragrance by Paco Rabanne. Capturing the irresistible Parisian spirit of the Rabanne woman, FAME pays tribute to a new era of femininity. Playful. sensual. empowered. the quintessence of avant-garde luxury, the fragrance is a blend of exceptionally pure jasmine, succulent mango and an addictively sensual creamy incense.",dist/images/notes/mango.png,dist/images/notes/jasmine.png,dist/images/notes/vanilla.png
Flora Gorgeous Jasmine,Eau de Parfum,Gucci,dist/images/flora-gorgeous-jasmine.png,"Gucci Flora Gorgeous Jasmine Eau de Parfrum bursts with a radiant composition led by Grandiflorum Jasmine. Tender wreaths of noble Jasmine are transformed through extraction into the heart and spirit of Gucci Flora Gorgeous Jasmine, resulting in an enlightened expression of this precious flower. Blended with base notes of Sandalwood and Benzoin, its sensual notes create a skin imprint unique to the wearer. Its energy of inner joy is further lifted with notes of Mandarine Essence and Magnolia Accord, which infuse the scent with a joyful feeling. Reimagined in Alessandro Michele’s vision, the House’s distinctive Flora pattern seals the design with a magical touch, fortifying Gucci Flora Gorgeous Jasmine as an object of inspiration.

Encased within a new, elongated bottle, crafted from lacquered turquoise stone glass featuring a shiny gold cap. The packaging features a new take on the House’s distinctive Flora pattern, first created by artist and illustrator Vittorio Accornero for Gucci in 1966.",dist/images/notes/mandarin.png,dist/images/notes/jasmine.png,dist/images/notes/sandalwood.png
Funeral Home,Eau de Cologne,Demeter,dist/images/funeral-home.png,"Funeral Home is a blend of classic white flowers including lilies, carnations, gladiolus, chrysanthemums with stems and leaves, with a hint of mahogany and oriental carpet.",dist/images/notes/lily.png,dist/images/notes/carnation.png,dist/images/notes/grass.png
Gabrielle,Eau de Parfum,Chanel,dist/images/gabrielle.png,"The most precious and sensual interpretation of GABRIELLE CHANEL. Striking from the first drop, it is worn directly on the skin to feel the full intensity of its floral power. In its square, thin-walled bottle, the fragrance seems to levitate. The box, the cover and the label are tinted with a deep gold. For the first time, CHANEL is presenting a bottle of Extrait topped with a spray that allows precise perfuming for an intensely feminine trail.",dist/images/notes/jasmine.png,dist/images/notes/vanilla.png,dist/images/notes/sandalwood.png
Good Fortune,Eau de Parfum, Viktor & Rolf,dist/images/good-fortune.png,"Inspired by the Spiritual Glamour Haute Couture Collection, Good Fortune is the incarnation of a new positive lifestyle, an olfactive manifesto for spirituality and self-potentialization, bringing you the power to create your own destiny.

Bewitching and powerful, the fragrance opens with the secret alchemy of the fennel & gentian flower co-distillated as an enlivening magnetic top. A Jasmine Superinfusion then takes center stage at the heart of the fragrance blooming with its velvety solar notes, while a creamy and captivating Bourbon Vanilla, ethically sourced in Madagascar, quietly sits at the base.",dist/images/notes/gentiana.png,dist/images/notes/jasmine.png,dist/images/notes/vanilla.png
I am Trash,Eau de Parfum,Etat Libre d'Orange,dist/images/i-am-trash.png,"Created in partnership with the award-winning creative network Ogilvy Paris, ‘I Am Trash’ (or in French Les Fleurs Du Dechet) is the first luxury perfume created by Upcycling; by using the trashed ingredients to create something truly beautiful. More specifically, by using exhausted Rose petals, already distilled Sandalwood chips, and even leftover Apples from the food industry to create the most beautiful fruity, floral, and woody blend.",dist/image/notes/strawberry.png,dist/image/notes/orange.png,dist/image/notes/cedarwood.png
In Love With Everything,Eau de Parfum,Imaginary Authors,dist/images/inlove.png,"Written in 1982, this electrifying novel about sex, drugs, and decadence in pre-Miami Vice Florida, follows a delinquent clique of teenage girls through nightclubs, roller discos, and seedy South Beach bars in search of anything to keep the party going. Driven by an inexhaustible enthusiasm, the girls navigate a series of potentially dangerous situations with naive ease, radiating their infectious light like a disco ball and turning even the darkest circumstances into a dance party. Lauded for its unflinchingly honest portrayal of strong, outspoken, resourceful young women whose sole motivation was to have a good time, the book stands in stark contrast to the male chauvinism of the era and still resonates today. Critics have called it “an essential examination of the joys of recklessness” and “an addictive story in which every sentence glistens with sticky sweet summer heat.”",dist/images/notes/tropical-punch.png,dist/images/notes/coco-palm-sugar.png,dist/images/notes/sandalwood.png
Inexcusable Evil,Eau de Parfum,Toskovat,dist/images/inexcusable-evil.png,"Today I remembered destruction. The pain of life often makes me forget the more disgusting pain of having it taken.

Fallen buildings on the news, crying babies, burnt flowers.

Memories lost, tears drowned, coffees never shared…

At least I have iodine on my wounds and crutches left to use, but what about those that don’t?

The next war will decide not what is right, but what is left.

Hate all governments & love all people.",dist/images/notes/gunpowder.png,dist/images/notes/blood.png,dist/images/notes/rain.png
Koala,Eau de Parfum,Zoologist Perfumes,dist/images/koala.png,"A cloak of rich green velvet sweeps across the Australian horizon, the majestic eucalypt forest flattering every curve of the undulating landscape. Tucked high in the crook of a tree, the koala is oblivious to the mesmerizing views. It would rather curl into a ball and sleep off a feast of oily eucalyptus, the aromatic leaves that sustain it. Despite their sleepy demeanour and friendly expression, koalas are territorial creatures. Males mark the soaring trunks with their musk, establishing their dominance.

Zoologist Koala opens with an invigorating blend of lemony honey and the sweet aroma of eucalyptus. They float above a blanket of black tea and spices, then draw you even deeper into musky amber and woods. The result is a unique and carefree scent that snuggles in around you, enveloping you in an embrace both playful and independent.",dist/images/notes/eucalyptus.png,dist/images/notes/vetiver.png,dist/images/notes/sandalwood.png
La Belle Fleur Terrible,Eau de Parfum Legere,Jean Paul Gaultier,dist/images/la-belle-fleur-terrible.png,"Can you keep a secret?

In the Garden of Gaultier lies a hidden corner of paradise and pleasure reserved for women, in limited edition. Shh! Here in the heart of lush nature lives the new nymph, La Belle Fleur Terrible, wearing nothing but a necklace of embroidered petals around her neck. Myth or pure fantasy?

See for yourself under the blue sky of its colourful metal tin adorned with birds and roses. Its sensual lagoon-blue bottle plunges the senses into an aquatic amber floral eau de parfum that's incredibly aphrodisiacal and light.

There you go. You’re already succumbing to its charms.",dist/images/notes/water-lily.png,dist/images/notes/iris.png,dist/images/notes/vanilla.png
La Nuit de Bohème,Eau de Parfum,Anna Sui,dist/images/la-nuit-de-boheme.png,"La Nuit de Bohème is an oriental-floral composition, announced a deep, mysterious and attractive. It begins with notes of Calabrian bergamot, mandarin, blackberry and forbidden apple. The heart flourishes with black rose, orange blossom, night blooming jasmine, magnolia and plum. The base includes patchouli, sandalwood, amber and musk.

The face of the perfume is Gracie van Gastel. The fragrance is available in bottles of 30, 50 and 75 ml Eau de Parfum.",dist/images/notes/mandarin.png,dist/images/notes/plum.png,dist/images/notes/amber.png
Lady Vengeance,Eau de Parfum,Juliette Has a Gun,dist/images/lady-vengeance.png,"She is bold and edgy, confident and divinely sensual. Lady Vengeance brings a rich and sophisticated trail with the expression of undeniable femininity. The achingly elegant but thorny Bulgarian rose marries dark patchouli and succulent vanilla to draw a fine line of elegance, contemporary and inevitable. 
",dist/images/notes/bergamot.png,dist/images/notes/rose.png,dist/images/notes/vanilla.png
Lail,Eau de Parfum,109 Parfum,dist/images/lail.png,"LAIL from the independent fragrance house 109 PARFUMS recognizes the healing power of the mighty honey. Derived from ancient Iraqi beekeeping traditions, LAIL links honey and beeswax with notes like incense, oud, patchouli and benzoin. The name, meaning night in Arabic, echoes the scent where the gore of a smoky darkness is encapsulated in sweet gooey notes.

",dist/image/notes/honey.png,dist/image/notes/vanilla.png,dist/image/notes/musk.png
Libre Le Parfum,Eau de Parfum,Yves Saint Laurent,dist/images/libre-le-parfum.png,"With an enhanced blend of exotic florals, rich spices, and dark, decadent notes, the eleventh fragrance in the Kayali collection, Vanilla Royale Sugared Patchouli | 64 unites contrasting textures: gourmand indulgence with rich sensuality for an intense new level of sophistication. As a new member of the Kayali vanilla family, this complex explosion of sweet vanilla mixed with sugared patchouli will be the crown jewel in every vanilla lovers collection.",dist/images/notes/saffron.png,dist/images/notes/lavender.png,dist/images/notes/tonka-bean.png
Macaque,Eau de Parfum,Zoologist Perfumes,dist/images/macaque,"Against the backdrop of a mountainous terrain, two communities share a peaceful coexistence. Yet despite their proximity, the societies are distinctly unique. Macaques cavort among the trees, grasping with delight at nature’s bountiful pleasures. From the quiet solemnity of a nearby temple, their human neighbours regard them, coveting the monkeys’ playful abandon. The macaques are all but oblivious, sparing only the briefest of curious glances at the pensive faces below before surrendering once again to their carefree revels.

Sweet notes of yuzu dance through a pine forest, welcoming you to Zoologist Macaque. Incense adds gravity with aromas of Hinoki woods and myrrh. The delicate balance between heavy and light results in an austere woody scent with mild hints of creamy sandalwood. Macaque is exuberance tempered by calm, sublimity buoyed by joy, a happy harmony of meditative bliss.",dist/images/notes/yuzu.png,dist/images/notes/myrrh.png,dist/images/notes/sandalwood.png
Memoirs of a Trespasser,Eau de Parfum,Imaginary Authors,dist/images/memoirs-of-a-trespasser.png,"The early exploration writing of Philip Sava bent the limits of post-modern fiction, revealing fantastical worlds that fooled many into believing they were, in fact, real. Sava’s kaleidoscopic collections, of which Memoirs of a Trespasser is the undeniable centerpiece, drew upon true experiences from his exotic travels but were infused with a hallucinatory inventiveness that set his work apart from others in the genre.
Though Sava had associates all over the world, he spent most of his time living in solitude on a ranch in southern Madagascar. When interrogated by the press on his cloistered lifestyle he notoriously answered, “Who needs love when there is still cognac in the glass?”",dist/images/notes/vanilla.png,dist/images/notes/myrrh.png,dist/images/notes/oak.png
Moth,Eau de Parfum,Zoologist Perfumes,dist/images/moth.png,"Their days are spent secluded in camouflage, the intricate pattern of their wings disguising them against a coarse backdrop of barks and rocks. When they finally stir, even their flight is concealed, shrouded beneath the cover of night. Moonlight ripples off a delicate coating of tiny hairs as their feathered antennae guide them in their search for a mate. Only one temptation can lure them from their quest. Should they succumb to the attraction of the flame, their urge to procreate may be quashed in a wisp of smoke and a smattering of ashes.

At first encounter, the rich, gothic scent of Zoologist Moth may surprise but soon it hypnotizes. A heavy dose of dark spices jolts your senses before settling into a dusting of honey-sweet rose and powdery florals. Slowly, it tests its wings, taking flight on an exotic journey of nagarmotha, guaiac wood and patchouli. Beneath it all lingers a smoky undertone that serves as a constant reminder of the danger within the tantalizing flame.",dist/images/notes/pepper.png,dist/images/notes/jasmine.png,dist/images/notes/honey.png
No Limit$ Super Fre$h,Eau de Toilette,Philipp Plein,dist/images/no-limits-super-fresh.png,"No Limit$ Super Fre$h is an intense, warm and woody fragrance for men. This strong and masculine scent is great for any day and occasion but mostly for the cold days of the year.
The perfume composition of Philipp Plein No Limit$ Super Fre$h is incredibly rich and diverse. In the top scent we feel fresh and sweet notes. They include a fruity scent of black currant, artemisia, awakening sea notes, fig and delicate lavender. The heart hides very fresh citrusy notes of grapefruit, bergamot and ginger and also spices like black pepper and cardamom. The base notes include a woody scent of sandal and cedar wood, fragrant leather, delicious scent of vanilla and white chocolate and also musk and amber.",dist/images/notes/black-currant.png,dist/images/notes/cardamom.png,dist/images/notes/musk.png
Paper+,Eau de Parfum,Commodity,dist/images/paper.png,"An Iso E Super with personality, Paper+ is an earthy and robust rendition. The combination of earthy Vetiver, wet Woods, and Iso E Super is unmistakable and reminiscent of mossy woods after rain.

We began with Paper Expressive: a sheer and crisp woody blend of Sandalwood and Iso E Super.We then made this crisp composition sweeter and softer with a molecular Amber opening for a Personal rendition. We also made an earthy, Bold rendition where Vetiver and wet woods cling to the skin.",dist/image/notes/sandalwood.png,dist/image/notes/amber.png,dist/image/notes/vetiver.png
Phantom,Eau de Toilette,Paco Rabanne,dist/images/phantom.png,"Step into the Paco Galaxy and join an intergalactic party where everyone is invited. Where you can be whoever you want to be. No matter who you are. No matter which planet you come from. The essence of self-confidence fueled by feel good energies. A futuristic aromatic fragrance born from the clash between luxury craftmanship and new-tech.Using a cutting-edge creative process to select ingredients to make you feel energized, powerfully confident and sexy. A bold scent with notes of addictive creamy lavender, fusing energizing lemon and sexy woody vanilla.

Radically different, totally disruptive: PHANTOM is our first connected bottle ever. Tap your phone on its top, and take off with your new wingman! A bold invitation to step outside the ordinary and celebrate life. 1000% feel-good. 1000% Paco Rabanne.",dist/images/notes/lavender.png,dist/images/notes/lemon.png,dist/images/notes/vetiver.png
Seahorse,Eau de Parfum,Zoologist Perfumes,dist/images/seahorse.png,"Balmy sunlight trips across foamy turquoise waves, sending rippling haloes onto the coral below. On the lagoon floor, anemone and seaweed sway in unison, limbs pumping to the rhythm of the current. Hovering among the coral branches, a group of seahorses gazes shyly on. The pulsating beat calls to them and two pair off, their tails entwined in a delicate waltz. Soon their passion is spent, but the memory of the dance lives on. For the pouch of the male seahorse tenderly cradles a precious clutch of eggs.

Zoologist Seahorse invites you to wade through a vibrant coral garden. This unisex scent turns expectation on its head. With such surprising couplets as tuberose and seaweed, sage and neroli, and fennel and vetiver, this delightful melody will sweep you away on a wave of joy and abandon.",dist/images/notes/cardamom.png,dist/images/notes/algae.png,dist/images/notes/vanilla.png
She Was an Anomaly,Eau de Parfum,Etat Libre d'Orange,dist/images/she-was-an-anomaly.png,"A singularity. A difference. A woman you will simply never understand. This perfume was necessary. A subtle yet unique blend of iris, enveloped by musk and sandalwood.

",dist/image/notes/cedarwood.png,dist/image/notes/vanilla.png,dist/image/notes/musk.png
Sloth,Eau de Parfum,Zoologist Perfumes,dist/images/sloth.png,"With its vibrant, sun-dappled hues, the dense rainforest beckons invitingly. Yet within its misty depths, countless dangers lurk, slinking across the forest floor. Dangling high among the treetops may seem a dubious defence against peril, but for leisurely sloths the forest canopy offers a protective shroud. Safe in their leafy fortress, the sluggish creatures move so slowly even moss overtakes them. They snooze in a cradle of moist green aromas, oblivious to the chaos below.

Zoologist Sloth captures the tranquility of this sleepy beast in a soothing green essence. Calming lavender, chamomile, marigold and jasmine combine with the stillness of bittersweet hay and damp moss, stitched together by threads of luscious incense. The result is dreamy and exotic. As it settles on the skin, Sloth carries one up to a place where stresses simply tumble away.",dist/images/notes/chamomile.png,dist/images/notes/jasmine.png,dist/images/notes/tonka.png
Soul of My Soul,Eau de Parfum,Etat Libre d'Orange,dist/images/soul-of-my-soul.png,"There's this wonderful expression for addressing a loved one: to say “soul of my soul,” signifying the emptiness of living without one's love. Here, musk intermingles with iris butter and transmits the powerful balm of vanilla, followed by the friction of Tonka against Benzoin. Here, perfume is soul, soul is perfume.",dist/image/notes/bergamot.png,dist/image/notes/rose.png,dist/image/notes/vanilla.png
Squid,Eau de Parfum,Zoologist Perfumes,dist/images/squid.png,"The vast ocean swells and contracts, caught in the relentless tug of the moon. Beneath the surface, a school of squid emerges. Strange, elastic forms propel from the deep in a frantic search for sustenance. They are not alone. Their predators lunge, only to be foiled by blinding jets of murky ink. The hunt ends abruptly as a monolith materializes, greedily engulfing all in its path. The massive sperm whale dives, leaving a temporary peace bobbing in its wake. Decades on, relics of the battle resurface. Lumps of ambergris, expelled by the whale and polished by the salty currents, wash ashore. Waste? Flotsam? To the perfumer this elusive substance is nothing less than treasure.

Zoologist Squid sings a song of the sea, a melancholy tale told through tangy brine, crisp incense, and sweet, cloudy ink, all united by the moody aroma of ambergris. Like the endless depths that inspired it, this elegant scent ripples with mystery.",dist/images/notes/pink-pepper.png,dist/images/notes/black-ink.png,dist/images/notes/musk.png
To Be Miss Beat,Eau de Parfum,Police,dist/images/to-be-miss-beat.png,"To Be Miss Beat is a distinctive fragrance for women. Launched in 2017, this fragrance comes from the design house of Police. At the top are combined notes from Lily-of-the valley, Black Currant and Coconut, while the heart is full of fragrance from White Peach, Rose and Heliotrope. The base is alluring and fresh with notes from Cashmere wood, Woody notes, Amber and Vanilla.",dist/image/notes/coconut.png,dist/image/notes/peach.png,dist/image/notes/vanilla.png
"Trust Me, I'm a Liar",Eau de Parfum,Labratoires des Endorphines,dist/images/trust-me-im-a-liar.png,"12 marketing stories / one artistic fragrance.

On every box you can find a different seductive story inspired by the most common marketing phrases that makes customers buy.
Wear me if you’re rich , single , in love , on diet, special, adrenaline junkie, so on.
For all the boxes above we created only one fragrance  to rule them all – “Trust me I am a liar“ .If you love the fragrance we can always deliver the story.",dist/images/notes/coca-cola.png,dist/images/notes/whiskey.png,dist/images/notes/vanilla.png
Tyrannosaurus Rex,Eau de Parfum,Zoologist Perfumes,dist/images/tyrannosaurus-rex.png,"A sultry heat wafts across the land, lapped up greedily by the abundant flora that thrives in its midst. Trees soar to majestic heights and plants flower for the first time, their petals spreading to give birth to a world rich in diversity. The Cretaceous period comes of age against a backdrop scorched by wildfire and lightning strikes. Over this turbulent landscape, a massive predator looms. Giants rule the earth, but even giants can be cut down within the powerful jaws of the fearsome tyrannosaur. Standing tall, the terrifying beast fears nothing, until that pivotal moment when a fire in the sky signals the end of their deadly reign.

Zoologist Tyrannosaurus Rex is a gargantuan scent that sinks its teeth into the world of delicate fragrances and rips it wide open. Primitive woods and florals seize you and snatch you away to an ancient era. Smoky, charred wood warns of the danger of smouldering fire, setting your senses on edge, while droplets of metallic rose oxide offer a chilling premonition of blood-lust. The mighty Tyrannosaurus Rex is sometimes menacing, sometimes fascinating, but never, ever ordinary.",dist/images/notes/black-pepper.png,dist/images/notes/ylang-ylang.png,dist/images/notes/vanilla.png
Vanilla Royale,Eau De Parfum Intense,Kayali,dist/images/vanilla-royale.png,"With an enhanced blend of exotic florals, rich spices, and dark, decadent notes, the eleventh fragrance in the Kayali collection, Vanilla Royale Sugared Patchouli | 64 unites contrasting textures: gourmand indulgence with rich sensuality for an intense new level of sophistication. As a new member of the Kayali vanilla family, this complex explosion of sweet vanilla mixed with sugared patchouli will be the crown jewel in every vanilla lovers collection.",dist/images/notes/rum.png,dist/images/notes/tonka-bean.png,dist/images/notes/brown-sugar.png
